rms_m,freqHz,date,time,updatedMs,mgrs
0.00,150000000,22 Jan 2026,18:53:47,1769082827824,47P PR 90108 05838
0.00,150000000,22 Jan 2026,18:53:48,1769082828073,47P PR 93826 12834
0.00,150000000,22 Jan 2026,18:53:48,1769082828121,47P PR 90336 15940
0.00,150000000,22 Jan 2026,18:53:48,1769082828188,47P PR 82005 06617
0.00,150000000,22 Jan 2026,18:53:49,1769082829311,47P PR 90668 15642
0.00,150000000,22 Jan 2026,18:53:49,1769082829442,47P PR 90334 15938
0.00,150000000,22 Jan 2026,18:53:50,1769082830430,47P PR 88644 21673
0.00,150000000,22 Jan 2026,18:53:50,1769082830611,47P PR 92224 14107
0.00,150000000,22 Jan 2026,18:53:51,1769082831127,47P QQ 31726 79208
0.00,150000000,22 Jan 2026,18:53:51,1769082831241,47P QQ 31837 79095
0.00,150000000,22 Jan 2026,18:53:51,1769082831287,47P PR 90864 15472
0.00,150000000,22 Jan 2026,18:53:51,1769082831646,47P PR 88520 13182
0.00,150000000,22 Jan 2026,18:53:51,1769082831819,47P PR 86346 19491
0.00,150000000,22 Jan 2026,18:53:52,1769082832267,47P PR 91165 15201
0.00,150000000,22 Jan 2026,18:53:52,1769082832443,47P PR 92539 13984
0.00,150000000,22 Jan 2026,18:53:52,1769082832917,47P PR 89275 23158
0.00,150000000,22 Jan 2026,18:53:54,1769082834112,47P PR 88198 14653
0.00,150000000,22 Jan 2026,18:53:54,1769082834236,47P PR 88553 13025
0.00,150000000,22 Jan 2026,18:53:54,1769082834297,47P PR 92341 18095
0.00,150000000,22 Jan 2026,18:53:54,1769082834434,47P PR 96536 17667
0.00,150000000,22 Jan 2026,18:53:55,1769082835133,47P PR 90815 15515
0.00,150000000,22 Jan 2026,18:53:55,1769082835734,47P PR 92170 14312
0.00,150000000,22 Jan 2026,18:53:56,1769082836243,47P PR 88649 17443
0.00,150000000,22 Jan 2026,18:53:57,1769082837077,47P PR 90669 15644
0.00,150000000,22 Jan 2026,18:53:57,1769082837227,47P PR 94090 12602
0.00,150000000,22 Jan 2026,18:53:57,1769082837420,47P PR 89068 10647
0.00,150000000,22 Jan 2026,18:53:57,1769082837736,47P PQ 73492 87560
0.00,150000000,22 Jan 2026,18:53:58,1769082838049,47P PR 89309 09541
0.00,150000000,22 Jan 2026,18:53:59,1769082839005,47P PR 86232 16104
0.00,150000000,22 Jan 2026,18:53:59,1769082839155,47P PR 88959 17166
0.00,150000000,22 Jan 2026,18:53:59,1769082839370,47P PR 89761 16453
0.00,150000000,22 Jan 2026,18:54:00,1769082840533,47P PR 87820 18180
0.00,150000000,22 Jan 2026,18:54:00,1769082840990,47P PR 81489 24003
0.00,150000000,22 Jan 2026,18:54:02,1769082842696,47P PR 91012 15338
0.00,150000000,22 Jan 2026,18:54:03,1769082843692,47P PR 92354 18094
0.00,150000000,22 Jan 2026,18:54:03,1769082843949,47P PR 92081 29774
0.00,150000000,22 Jan 2026,18:54:04,1769082844363,47P PR 90290 15889
0.00,150000000,22 Jan 2026,18:54:04,1769082844807,47P PR 88445 17624
0.00,150000000,22 Jan 2026,18:54:04,1769082844869,47P QR 01435 06059
0.00,150000000,22 Jan 2026,18:54:05,1769082845812,47P PR 90522 03978
0.00,150000000,22 Jan 2026,18:54:06,1769082846825,47P PR 90575 15731
0.00,150000000,22 Jan 2026,18:54:06,1769082846937,47P PR 79450 00851
0.00,150000000,22 Jan 2026,18:54:07,1769082847811,47P PR 90669 15644
0.00,150000000,22 Jan 2026,18:54:08,1769082848888,47P PR 92787 13761
0.00,150000000,22 Jan 2026,18:54:08,1769082848982,47P PR 88514 17562
0.00,150000000,22 Jan 2026,18:54:09,1769082849109,47P PR 86670 17091
0.00,150000000,22 Jan 2026,18:54:09,1769082849765,47P PR 94536 12214
0.00,150000000,22 Jan 2026,18:54:10,1769082850119,47P PR 86762 19121
0.00,150000000,22 Jan 2026,18:54:12,1769082852074,47P PR 91969 14486
0.00,150000000,22 Jan 2026,18:54:12,1769082852373,47P PR 91378 15012
0.00,150000000,22 Jan 2026,18:54:13,1769082853132,47P PR 90814 15515
0.00,150000000,22 Jan 2026,18:54:13,1769082853603,47P PQ 76607 94511
0.00,150000000,22 Jan 2026,18:54:13,1769082853701,47P PR 90716 15600
0.00,150000000,22 Jan 2026,18:54:14,1769082854221,47P PR 85499 27108
0.00,150000000,22 Jan 2026,18:54:14,1769082854390,47P PR 90670 15646
